num_dossard,pname,name,genre,cat,club,nationalité,ville,pays,etat,class_gen,class_F,class_cat,arrivée,tps_course,vit_moy
1455,Alexandre,TOURNEUX,Homme,M1 H (40-44),,FRA (France),SAINT ANDRE,RE,Finisher,4,,5,Derni,49:57:23,3.21
2503,David,LELEVET,Homme,M3 H (50-54),,FRA (France),COMBS-LA-VILLE,FR,Finisher,5,,6,Derni,49:57:33,3.21
869,Nicolas,MONTREUIL,Homme,M1 H (40-44),,FRA (France),OZOUER LE VOULGIS,FR,Finisher,6,,6,Derni,49:57:34,3.21
2409,Yohan,TECHER,Homme,M0 H (35-39),,FRA (France),LA RIVIÈRE SAINT-LOUIS,RE,Finisher,7,,4,Derni,49:57:40,3.21
1445,Charly,ROBERT,Homme,M4 H (55-59),,FRA (France),TROIS BASSINS,RE,Finisher,8,,7,Derni,49:58:40,3.21
6,Adam,KAMKOUM,Homme,SE H (23-34),,FRA (France),LES HOUCHES,FR,Finisher,9,,7,Derni,49:58:57,3.21
2572,Jean Max,GRONDIN,Homme,M2 H (45-49),,FRA (France),ST PHILIPPE,RE,Finisher,9,,3,Derni,49:58:57,3.21
38,Elina,ANTRAYGUE,Femme,SE F (23-34),,FRA (France),SAINT DENIS,RE,Finisher,1,0,1,Derni,50:01:13,3.2
1785,Johnny,FORTANNIER,Homme,M1 H (40-44),,FRA (France),TRELAZE,FR,Finisher,2,,7,Derni,50:01:26,3.2
2192,Sebastien,TAUDON,Homme,M2 H (45-49),,FRA (France),MONTREUIL SUR LOIR,FR,Finisher,3,,4,Derni,50:01:27,3.2
466,Ludovic,FOSSEY,Homme,M0 H (35-39),,FRA (France),POTIGNY,FR,Finisher,4,,5,Derni,50:02:02,3.2
2355,Sandrine,TOURNAY,Femme,M3 F (50-54),,FRA (France),LA MOTTE SERVOLEX,FR,Finisher,5,1,9,Derni,50:03:16,3.2
958,Yoann,PETITJEAN,Homme,M1 H (40-44),,FRA (France),LE PORT,RE,Finisher,6,,8,Derni,50:03:42,3.2
1256,Lis,WAGENER - KAYSER,Femme,M0 F (35-39),,LUX (Luxembourg),HEISDORF,LU,Finisher,7,2,7,Derni,50:04:38,3.2
2316,Frederic,OHANIAN,Homme,M3 H (50-54),,FRA (France),BRAS-PANON,RE,Finisher,8,,7,Derni,50:04:51,3.2
1727,Sébastien,DEJEAN,Homme,M2 H (45-49),,FRA (France),SAINT BONNET DE ROCHEFORT,FR,Finisher,9,,5,Derni,50:05:45,3.2
2108,Pascal,RETY,Homme,M3 H (50-54),,FRA (France),DESERTINES,FR,Finisher,9,,8,Derni,50:05:45,3.2
1010,Annick,QUIRION,Femme,M5 F (60-64),,FRA (France),LA CHAPELLE SUR ERDRE,FR,Finisher,1,3,3,Derni,50:05:49,3.2
133,Frédéric,BEUCHER,Homme,M1 H (40-44),,FRA (France),CHÉRANCÉ,FR,Finisher,2,,9,Derni,50:06:16,3.2
735,Philippe,LECHABLE,Homme,M3 H (50-54),,FRA (France),VITRE,FR,Finisher,3,,9,Derni,50:06:17,3.2
